Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S004873;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701629;Isaac Newton;130 013;Dijous;Dj;Laboral;2013;7;Juliol;4;23;No és causa del  vianant;Motocicleta;XJ 6;YAMAHA;Desconegut;A;5;4585357,52;427649,79
2013S004875;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;144601;Diagonal;6 040 604;Divendres;Dv;Laboral;2013;7;Juliol;5;0;No és causa del  vianant;Turismo;308;PEUGEOT;Gris;B;14;4582921,62;428461,53
2013S004878;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0751E0751E;Divendres;Dv;Laboral;2013;7;Juliol;5;8;No és causa del  vianant;Turismo;LACETTI;CHEVROLET;Vermell;B;17;4583780,76;431803,14
2013S003133;5;Sarrià-Sant Gervasi;23;Sarrià;278007;Reina Elisenda de Montcada;100 010;Dimarts;Dm;Laboral;2013;4;Abril;30;18;No és causa del  vianant;Motocicleta;SH 100;HONDA;Vermell;A;2;4583700,95;426561,78
2013S003136;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;2 270 227;Dimarts;Dm;Laboral;2013;4;Abril;30;18;No és causa del  vianant;Motocicleta;SPECIAL;YAMAHA;Vermell;A2;30;4582615,56;430032
2013S003137;2;Eixample;10;Sant Antoni;169409;Corts Catalanes;3 840 390;Dimarts;Dm;Laboral;2013;4;Abril;30;18;No és causa del  vianant;Turismo;IBIZA;SEAT;Negre;B;6;4581025,21;429061,54
2013S003263;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;181608;Roc Boronat;0131B0131B;Diumenge;Dg;Laboral;2013;5;Maig;5;15;No és causa del  vianant;Turismo;207;PEUGEOT;Vermell;B;14;4584019,52;432715,31
2013S003396;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;32700;Balmes;3 730 373;Divendres;Dv;Laboral;2013;5;Maig;10;19;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;B;7;4584236,66;428225,67
2013S004100;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;610 061;Dimecres;Dc;Laboral;2013;6;Juny;5;17;No és causa del  vianant;Turismo;KOLEOS;RENAULT;Gris;B;28;4582932,76;430144,52
2013S004243;2;Eixample;5;el Fort Pienc;144601;Diagonal;2 490 249;Dimarts;Dm;Laboral;2013;6;Juny;11;11;No és causa del  vianant;Turismo;AURIS;TOYOTA;Negre;B;18;4583856,62;431576,58
